AAS	教廷公報；宗座公報。全名是 Acta Apostolicae Sedis 。 
abba (L.)	阿爸；父；父親耶穌對天父的稱謂，表示關係密切。 
abbacy, territorial	自治會院區。詳見 abbot 。 
abbas (L.)	隱修院院牧（長）。同 abbot 。 
abbe (Fr.)	神父；司鐸原為法文，用於稱呼教區神父或昔日已剪發(tonsure)而未晉鐸的聖職人員；全稱是 Monsieur l'abbe 。 
abbess	女隱修院院長（本篤、熙篤等）女修會院長的專稱。男隱修院院長為 abbot 。 
abbey	隱修院依教會法所建立的獨立會院；若干會士聚在一起，與外界隔離，在會院內一同祈禱和工作，共度團體獻身生活。例如香港大嶼山的嚴規熙篤會聖母神樂院於 1999 年 9 月 5 日 升格為院牧級隱修院(abbey)，由中國教會史上首任院牧 abbot 江恩澄領導。參閱 abbot 。 
abbey nullius	聖座直轄隱修院。參閱 abbot 。 
Abbey of St. Jerome for the Revision and Emendation of the Vulgate	訂正通俗（拉丁文）聖經本之聖業樂修院于 1932 年由教宗碧岳十一世成立，為宗座永久性委員會之一。 
abbot	隱修院院牧（長）源自阿拉美語，意為「父親」，為本篤會和熙篤會等隱修院的院牧（長）。包括男隱修院之院牧（長）職務、尊位、權利、特權、管區、任期。為終身職，由全院會士投票選舉產生，但可退休或辭職。中華民國前外交總長陸征祥曾晉升為比利時聖安德隱修院之院牧。依據新法典，院牧（長）能夠因特殊環境，接受教宗委託，以牧人身份管理某一地區的天主子民，一如教區主教，其管區稱為自治會院區 territorial abbacy （法典 370)。 
abbot, titular	名譽隱修院院牧（長）；領銜隱修院院牧（長）。 
abbot general	總院牧（長）遵守相同規則的男隱修院之首長。 
Abdia(s)	亞北底亞書；俄巴底亞書（基）為舊約最短的先知書，僅 21 節；又名 Obadiah ；大約寫于紀元前 586 年，預言以色列復興和厄東滅亡。 
abdication	辭職；讓位指聖職人員的辭職、讓位。 
abduction	誘拐教會法典婚姻限制之一（法典 1089)。 
abjuration of heresy	 (1) 宣誓拒絕異端；宣誓放棄異端。 (2) 歸正宣誓。同 Oath of abjuration 。 
ablution	洗手禮；洗滌禮；洗淨；淨身；齋戒沐浴指在宗教禮儀中，表示內心滌除罪汙。 
abnegation	克苦；克己；自我節制；捨棄；拒絕。 
abomination of desolation	廢墟的可憎指耶路撒冷聖殿（於西元前 168 年）被 Antiochus Epiphanes 的褻瀆，以及（於西元 78 年）被羅馬的佔領。 
abortion	墮胎；人工流產指以人為的方式終止懷孕過程的行為。人受孕之初就有不可剝奪的天賦生存權；故意墮胎與殺人無異，嚴重違反道德律。 
Abraham	亞巴郎；亞巴辣罕（基）他因堅信天主的話奉命離開家鄉，來到福地，蒙天主祝福成為一個大民族－以色列人的始祖（創十二 1-3)，而他蒙受的祝福經由他的後裔默西亞、耶穌基督普及于萬民。 
abrenuntio (L.)	棄絕；（聖洗）誓願領洗時棄絕魔鬼的誓言。 
absolution	 (1) 赦罪指赦免良心、道德上的罪過 sins （若廿 22-23 ；法典 965-986)。 (2) 告別禮指昔日亡者彌撒後所舉行的告別禮，為亡者祈禱儀式之一，現已廢除。 
absolution, formula of	赦罪經和好（告解）聖事中，聽告解的司鐸代表耶穌，赦免懺悔者的罪過時所誦念的經文。 
absolution, general	集體赦罪在特殊情形下，如有死亡危險或嚴重需要，而無法個別告明時，可以集體方式同時赦免眾多懺悔者之罪過（法典 961)。 
absolution, public	公開赦罪亦即在會眾面前赦罪，乃古代教會赦罪的方式。 
abstinence	 (1) 小齋；齋戒為使教友清心寡欲、克己苦身、補贖罪過，以紀念耶穌苦難，教會規定小齋日禁食飛禽走獸之肉，但對魚蝦類則不禁止（法典 1249 ， 1251-1253)。 (2) 節食；禁酒；禁欲；節制。 
abuse	濫用；妄用；誤用指濫用特權、職務，收受賄賂等有虧職守之行為。 
abyss	 (1) 深淵舊約用語。 (2) 混沌；洪荒。 (3) 古聖所；陰間；陰府；地獄；靈薄獄(Limbo 之音譯）古代善人死後等候耶穌救贖的臨時收容所，為新約用語。 (4) 地獄魔鬼和受罰的惡人所在地（住所）。 
A.C. (L.)	紀元前；西元前；耶穌降生前拉丁語原字為 Ante Christum 在基督前，今多用英語 B.C. ，亦即 Before Christ 。 
Academy of Science, Pontifical	宗座科學院；教廷科學院。詳見 Pontifical Academy of Science 。 
acatholicus (L)	非天主教徒；教外人。 
accessory to another's sin	犯罪從犯指協助他人犯罪。 
accomodation	適應。詳見 inculturation 。 
accomplice	共犯。 
acolyte	 (1) 輔祭職。 (2) 四品職位為教會四小品中的最高級，現已取消。其職務為在彌撒中輔祭，即從旁協助司祭舉行禮儀。 (3) 輔祭人員（尤指）執燭者，無品級之男女教友也可擔任。拉丁文稱作 acolythus 。 
act	公報；法令；文件；案件；實現；行為。拉丁文稱作 acta 。 
act moral	倫理（道德）行為。詳見 moral act 。 
act religious	宗教行為。詳見 religious act 。 
acta (L.)	公報；行為。同 act 。 
Acta Apostolicae Sedis (L.)	宗座公報；教廷公報其前身為阿汪吉尼(Pietro Avanzini)於 1865 年所創辦的私人刊物－ Acta Sanctae Sedis ； 1908 年由教宗碧嶽十世改為官方公報。教會普通法的頒佈，除因特別情形而另訂方式外，均在宗座公報刊出，並在公佈滿三個月後生效－除非另有規定（法典 8)。該公報以拉丁文出版，縮寫為 AAS 。 
Action, Catholic	 (1) 公教進行會。 (2) 公教進行運動。詳見 Catholic Action 。 [ 按公教為天主公教之意 ] 
activity, human and cultural	人類文化與活動。 
Acts of the Apostles	宗徒大事錄；使徒行傳（基）乃新約的第五卷，為聖史路加所著，記載西元 30-67 年初期教會所發生的事蹟。 
actual grace	寵佑；現行聖寵；實際聖寵助人為善的恩寵。 
actual sin	罪行；本罪；現行罪指人明知、故意違反天主誡命之行為，包括思想、言語、行動或疏失；與習慣罪 habitual sin 相對照。 
A.D. (L.)	西元；紀元；主曆；耶穌降生後為拉丁語 Anno Domini 的縮寫。 
Ad Gentes Divinitus (L.)	《教會傳教工作》法令梵二大公會議文獻之一(7.12.1965)。縮寫為 AG 。 
ad hominem, argumentum (L.)	人身攻擊的論證對人之弱點所作主觀的（偏差）論證。 
ad limina (L.)	述職 limina 拉丁語是「門檻」，意即到宗徒聖伯鐸和聖保祿墓的門檻，全稱是 ad limina Apostolorum ，引伸為主教對教宗的述職。按教會法規定，全球主教輪流每五年應赴羅馬述職一次，並呈交教務報告（法典 399)。 
ad majorem Dei gloriam (L.)	愈顯主榮為耶穌會創辦人聖納爵．羅耀拉(St. Ignatius de Loyola)慣用的座右銘，簡寫為 A.M.D.G. 。英文作 to the greater glory of God 。 
ad multos annos (L.)	高?對（主教、上司）祝賀、恭維之詞。 
Adam (L.)	亞當人類始祖和代表，原意指「人乃屬於土的受造物」。創世紀陳述了天主創造亞當和厄娃的事實，但並未涉及創造的細節。 
adaptation	適應；入境問（隨）俗天主和教會是屬於全人類的，教會經由本土化，使福音的真理在不同的文化中得以發芽、滋長、開花、結果。譬如教會禮儀用的語言由拉丁文改為當地通用的語言，便是本地化的起步。參閱 inculturation 。 
Adeste Fideles (L.)	「普天下大欣慶」是十八世紀的拉丁文聖誕歌，見於威德(John F. Wado)的聖歌集 Cantus Diversi ，作者不詳。英譯為 O Come, All Ye Faithful 。基督教譯作「萬民頌揚」，聖詩集譯為「齊來忠誠歡欣得勝諸聖眾」。 
adjuration	宣誓 (1) 呼神立誓以證所言或所行非虛。 (2) 洗禮時的信仰誓言。 
administration, apostolic	宗座署理區某地區（教友）因特殊、重大理由而未成立教區，委託宗座署理 apostolic administrator 以教宗名義治理之，稱為宗座署理區（法典 371)。 
administration of Sacraments	施行聖事；舉行聖事。又可稱 celebration of Sacraments 。施行人稱 minister ，與領受人相對稱。 
administrator, apostolic	宗座署理為教宗所委任治理某地區的主教（或司鐸）。詳見 administration, apostolic 。 
admonition	勸言；訓誡。 
Adonai (Heb.)	主；上主；我主；君王；阿道納依（音譯）舊約時代對雅威（耶和華）、天主的稱謂。 
adopted children of God	天主的義子。 
adoption	領養；立嗣。拉丁文稱作 adoptio 。 
adoptionism	義子論；嗣子說；繼承說為基督學之異端，主張基督的雙重子性從神性而言，祂是天主的親生子 natural son ；從人性而言，祂只是天主的義子 adopted son 。 
adoration	欽崇；崇拜；朝拜；禮拜世人經由言語和行動，對全能、全善、偉大、無限、榮耀的天主所表現的最高之崇敬和服從。單獨對天主而言，拉丁文稱作 adoratio 或 latria 。至於對天使、聖人的敬禮則稱為 veneration 或 dulia 。而對聖母則稱特殊敬禮，拉丁文稱作 hyperdulia 。可參閱 veneration 。 
adoration, perpetual	永拜聖體；經常朝拜聖體將聖體自聖體櫃中請出，供於祭臺上接受信眾朝拜，稱之為明供聖體。有些團體（如修會）每天明供聖體，並有修士、修女、教友按時輪流朝拜。 
Adoration of the Cross	朝拜十字架（苦像）尤指聖周星期五，紀念耶穌受難禮儀中對十字架之朝拜。嚴格的說，應為敬禮十字架 Veneration of the Cross 。 
Adoro Te devote (L.)	「我今虔誠朝拜」；「我虔誠欽崇禰」乃朝拜聖體的聖歌，為聖道茂．阿奎納(St. Thomas Aquinas)所作。 
adultery	通姦指夫妻一方或雙方，與第三者發生性關係（外遇）。 
advent	 (1) 將臨期耶穌聖誕前四周的準備期，以便迎接耶穌的來臨。將臨期第一主日為教會禮儀年的開始。 (2) 再臨基督第二次來臨。拉丁文作 adventus 。 
Advent of Christ	耶穌來臨一般指世界末日時，耶穌第二次來臨審判世人。而耶穌第一次來臨是指祂（兩千年前）在巴勒斯坦降生成人、傳佈福音、救贖世人。 
advent wreath	將臨期花環；將臨圈是由冬青樹或其他樹葉所作的花環，附有四支蠟燭；將臨期在聖堂彌撒中或家中（晚餐時）點燃；將臨期第一主日點一支，第二主日點兩支，以此類推。到耶誕節時，將此花環置於聖誕像前。此風始自民間預備迎接耶誕節之用。 
Adventism	再臨派；複臨派；安息日教派基督新教派之一，主張基督即將再臨。十九世紀米勒(William Miller 1782-1849)倡行於美國，其中以基督複臨安息日會 Seventh Day Adventists 教徒最多。 
advocate	辯護者；護慰者；保護人；師保 (1) 指基督 ( 若壹二 1)。 (2) 指天主聖神（若十四 16)。 
Advocate, Devil's	魔鬼的辯護者；列品調查員基於調查萬分仔細，毫不含糊，故名。詳見 Advocatus Dei 。 
Advocate of God	信仰維護者。詳見 Advocatus Dei 。 
Advocatus Dei (L.)	信仰維護者；列品調查員；列聖調查審問推事；魔鬼的辯護者教會在聖人列品案件進行時，指派專人，專司調查被列品者之言行及所顯之靈跡。俗稱為 Devil's Advocate ，直譯為魔鬼的辯護者，拉丁文稱作 Advocatus Diaboli ；基於調查萬分仔細，毫不含糊，故名。又稱作 Advocatus (Promotor) Fidei 或 Dei 。英文稱為 Advocate (Promoter) of Faith / God 。 
Advocatus Diaboli (L.)	魔鬼的辯護者。詳見 Advocatus Dei 。 
affusion	倒水禮；注水禮在額頭倒水的洗禮方式（之一），天主教慣用此方式。 
afterlife	來生；來世指人雖死卻仍存在的生命現象。善人的來世指（受造界）在面對天主聖三中，走向圓滿境界。 
agape (Gr.)	 (1) 聖餐；愛筵；主宴；聚會指初期教會所舉行的社交及宗教聖餐，以紀念耶穌的最後晚餐。原字為希臘文。 (2) 靈性之愛指天主對人之愛、信徒間的兄弟姊妹之愛。詳見 love 。 
age, canonical	教會的法定年齡未滿七歲者為嬰兒，七歲至十八歲者為未成年人，滿十八歲者為成年人（法典 97)。教會法規定滿十四歲者應守小齋，滿十八歲至五十九歲者應守大齋（法典 1252)。結婚的最低年齡，男子應滿十六歲，女子應滿十四歲（法典 1083)。男女修會會士發暫願需滿十八歲，發永願需滿廿一歲（法典 656-658)。晉鐸需滿廿五歲（法典 1031)。晉牧（主教）需滿卅五歲（法典 378)。 
age of discretion	理智年齡；懂事年齡指能分辨是非、善惡的年齡。教會通常以幼童七歲為理智年齡（法典 11)。這些幼童有參與彌撒、辦告解、守小齋等義務。又稱 age of reason 。 
age of reason	理智年齡。詳見 age of discretion 。 
agenda	議程；禮儀；通告。 
Ages of Faith	信仰世紀；信仰時代歷史家稱以基督信仰原則形成歐洲社會的中世紀。 
Aggai	哈蓋書；哈該書（基）舊約先知書。哈蓋生於紀元前六世紀，為舊約十二小先知之一，鼓勵百姓重建耶路撒冷聖殿。書為其弟子所寫，成于紀元前 520 年左右。又稱 Haggai 或 Aggeus 。 
Aggeus	哈蓋書。同 Aggai 。 
aggiornamento (It.)	現代化運動；革新運動為教宗若望廿三世在梵二期間，為讓教會適應現代世界潮流所提倡的運動，用意是打開教會窗戶，好讓新鮮空氣（思潮）進來。 
agility	神速肉身復活後行動快捷、來去自如，乃四大奇恩之一。其他三奇恩為神光、神透、神健。詳見 brightness 。 
Aglipayan Schism	菲律賓獨立教會菲律賓國阿白神父(Gregorio Aglipay)於 1902 年所創的裂教。 
Agnosticism	不可知論（主義）主張理智不能認識天主的存在及其屬性的理論，自認對天主的存在難以確定。 
Agnus Dei (L.)	天主的羔羊 (1) 指基督。 (2) 「除免世罪的天主羔羊」頌，彌撒經文中常引用。 (3) 教宗祝聖的天主羔羊蠟像（蠟牌）。英文稱為 Lamb of God 。 
Agnus Dei Paschalis (L.)	逾越節羔羊。耶穌被釘死在十字架上，救贖了世人，就像以色列子民出離埃及時，經由逾越節羔羊的血獲得解脫一樣。 
Agony in the Garden	耶穌山園祈禱參閱瑪廿六 36-46 。玫瑰經的痛苦一端特別紀念耶穌山園祈禱時的身心痛苦情景。 
alb	長白衣；大白衣為彌撒及其它禮儀中聖職人員所穿的白長袍。 alb 出自拉丁文 albus 白色。 
Albigensianism	亞爾比學說；亞豔根派指中世紀法國南部所興起的亞爾比（皮）學說，主張宇宙有善、惡二原則的二元論。 
All Saints, feast of	諸聖節；萬聖節（基）人類所知的天朝聖人非常有限，為免遺珠之憾，教宗博義四世(608-616)於西元 608 年將羅馬之萬神廟(Pantheon)獻給聖母及全體殉道者。教宗國瑞四世(827-844)於 834 年訂十 一月一日 為諸聖節，通令普世教會特別紀念並恭敬所有已升天的聖人、聖女。英國稱為 All Hallows 。 
All Souls' Day	追思已亡日；亡人節；萬靈節（基）是隱修院院長聖奧迪洛(Odilo)於 998 年首先在其所屬隱修院提倡、後來推展成為普世教會的敬禮，於每年十 一月二日 舉行追思已亡日，特別為逝世（信徒）的靈魂祈禱，現已納入教會禮儀中。教宗本篤十五世特准神父當天可為亡者舉行三台（次）彌撒。中國除此日外，每年清明節教會也特別舉行追思祖先的儀式和祈禱（彌撒）。 
Allah	阿拉；天主；上主回教徒對造物主、天主的（阿拉伯文）稱呼。這個一神的宗教（回教）接受以色列的天主，亦即上主的稱呼。 
allegory	寓意；寓言是用象徵的形式描寫抽象的事理，而寓意故事的每一個細節都扮演一個指定的角色。 
Alleluia (Heb.)	 (1) 阿〈亞〉肋路亞；哈利路亞（基）希伯來語原意是「你們讚美雅威吧」，意即讚美天主。 (2) 讚美天主是充滿歡樂和感恩的頌詞，在聖詠、聖詩、祈禱、證道中經常出現。又稱 Halleluiah 。 
Alma Redemptoris Mater (L)	大哉救主之母；萬福慈親讚美聖母的古老歌曲。英文為 loving mother of the Redeemer 。據說是由本篤會隱修士撰于西元 1050 年，乃每日夜禱結束時所誦聖母對經之一。 
Almighty, the	全能者指全能、全知、無所不在的天主。 
almsgiving	施捨；救濟；（行）哀矜；佈施；捐獻救助有需要的人是遵守愛的誡命，也是最後審判的標準。又可簡稱 alms 。 
Alpha and Omega (Gr.)	始和終；原始與終結；阿耳法和敖默加為希臘字母表之首尾兩字母「 Α 」和「 Ω 」；教會以此兩字母來代表天主，因祂是一切世物的起始與終結（默一 8)，聖史若望並用以指稱基督（默廿二 13)。 
Alphonsus Liguori, St.	聖雅風．力格義大利倫理學家， 1732 年創立贖世主會。舊名聖亞豐索。 
altar	祭台；祭壇；聖壇舉行彌撒祭獻之台或桌。教會初期，因多在殉教者墓上舉行彌撒，故通常在祭台正中的聖石內藏有殉教者骨骸，稱之為 altar stone 。舉祭時點燃蠟燭，並鋪以白色祭臺布 altar cloths 。祭台之拉丁文是 altare （參閱法典 1235-1239)。 
altar, main	正祭台；大祭台昔日教堂中央的主要祭台，四周設有若干次要祭台 side altar 。照教會新規定，教堂中只許有一個（正）祭台。 
altar, side	次要祭台；偏祭台昔日教堂兩側的祭台；與正祭台 main altar 相對照。 
altar boys	輔祭童；輔祭者舉行彌撒時的輔助者。昔日多由男孩（或成年人）擔任，今日女性也能輔祭。又稱 server 。 
altar bread	面餅；祭餅舉行彌撒時，用以成聖體的圓形無酵麥面餅。又稱 wafer bread 。 
altar cards	經牌昔日彌撒中，祭臺上所放的卡片，上面印有彌撒常用的經文。 
altar cloths	祭臺布；臺布舉行彌撒時，鋪在祭臺上的白（麻）布。 
altar stone	聖石祭台正中所鑲的石塊，如書本大小，其中藏有殉教者的骨骸；現已非必要。 
