Baptist Church	浸信會基督教更生團體之一，強調施行浸禮的重要性。又稱 Baptists 。 
the Counter-Reformation	天主教復興；反宗教改革自 1545 年特倫多大公會議(Council of Trent)後一百年間，天主教內之各種復興運動，是受到十六世紀路德派、加爾文派、英國國教 … 與天主教分庭抗禮之刺激。 
human law	人律；人的法律指由人所訂的行為的規範－包括教會和政府所頒佈的法條。 
Our Lady of Guadalupe	瓜達露北聖母 1531 年聖母在墨西哥瓜達露北，顯現給印地安人若望．狄埃高(Juan Diego)，言明自己是基督的母親，也希望在原地建一聖殿；不久聖殿即建造完成，成為著名朝聖地，曆久不衰。為墨西哥及美洲的主保，慶日在十二月十二日。 
dogmatic theology	教理神學；信理神學；教義神學列舉有關天主的各種信理之神學。 
minor superior	地方上司（長上）職掌修會會省以下會務者。 
lax conscience	散漫良心；馬虎良心；粗心。 
Roman (Catholic) Church	羅馬天主教會。詳見 Roman Catholic 及 Church, Catholic 。 
ecclesiastical superior	神長職掌教會團體事務的聖職人員，通常也稱上司或長上。 
private vow	私願；私人誓願個人私下向天主所許諾的誓願（約）。與公願相對照。 
private or domestic oratory	私用小聖堂按教會法，僅為私人或一家庭所設立之小教堂。譬如天主教國家之元首即可擁有此種小聖堂。詳見 church 。 
spiritual exercise	 (1) 靈修功夫；熱心神工；神業。 (2) 退省；避靜；神操。 
Church history	教會歷史指天國在今世的歷史，天主教自成立以來，常在逆境和迫害中成長。可分為四階段 (1) 從基督降生至西元 680 年，是古代基督宗教時代。 (2) 從 680 年至 1500 年，除東正教分出外，中世紀西方基督宗教仍屬同一領袖－教宗。 (3) 從 1500 年至 1870 年，西方基督宗教面臨改革和分裂，然而在美洲、亞洲、非洲卻如雨後春筍，欣欣向榮。 (4) 從 1870 年至今，面臨新的時代和考驗，尤其在梵二大公會議後，更不斷檢討改進，迎向新的挑戰。 
the Precursor	基督先驅指聖若翰洗者 John the Baptist （路一 17，76)，他是耶穌的開路先鋒，教人悔過自新，準備救世主的來臨（參閱瑪三 1-17)。 
Blessed Virgin of the Rosary	聖母玫瑰節；玫瑰聖母節慶節日在 十月七日 。 
mystical union	神秘結合靈魂與天主的密切結合，是天主賜與的特殊恩惠。 
heroic virtue	英勇（豪）之德；超凡之德非一般凡夫俗子所能表現出的德行。 
funeral Mass	安葬彌撒；殯葬彌撒。同 funeral 或 exequial Mass 。 
Act of Reparation to the Sacred Heart	向耶穌聖心贖罪（頌）敬禮。 
evangelical counsel	福音勸諭拉丁文稱作　 consilia evangelica ，意指基督于福音聖訓中，除命令世人嚴格遵守十誡(precepts)外，也奉勸世人更上一層樓，修煉貧窮、貞潔、服從三美德。而男女會士響應耶穌的此一號召，以貧窮（神貧）、貞潔、服從三誓願的方式，跟隨耶穌虔度獻身生活。 
charismatic renewal	神恩復興運動。 
Council of Ephesus	厄弗所大公會議舉行於 431 年，會中宣佈聖母得稱為天主之母。 
Holy Trinity	三位一體；天主聖三即聖父、聖子、聖神（靈）。唯一的天主，卻有三位。天主聖三奧跡包括愛的給予〔陽〕、愛的接受〔陰〕、愛的合一〔合〕。又稱 Blessed Trinity 。 
third order	第三會有些在俗善會（教友）成員，分享某修會之精神，並在該會高級上司指導下，度使徒生活，此種社團稱為第三會，或其他名稱（法典 303)。 
the Maryknoll Sisters	瑪利諾會修女以外方傳教為職志的道明修女會，母院設在美國紐約的瑪利諾。透過教育、醫療、福利等途徑從事福傳工作，足跡遍佈美國、亞洲、非洲、拉丁美洲、太平洋，包括臺灣在內。 
spiritual theology	神修學；靈修學是助人修持身心，以達到與天主合一的終極圓滿境界之學科。 
cardinal feast	主要慶節指主顯節、復活節、聖神降臨節。 
Council of Chalcedon	加采東大會天主教於 451 年在加采東所召開的第四次大公會議，聲明基督有「神、人兩性一位」。 
apostolic prefecture	宗座監牧區通常在傳教地區，尚未建立教會聖統 hierarchy 時期的一種初期傳教行政區域；我國通常亦稱為教區。其負責人稱之為監牧 apostolic prefect 。 
petrine privilege	伯鐸特權，詳見 petrine privilege 。 
Primitive Church	初期教會指第一個因耶穌基督之名而聚集的團體，源於新約。初期教會誕生於東方閃族和希臘文化交會之點，成員包括猶太人和外邦人。 
Apostolica (L.) Camera	教廷財務院教廷機構之一，負責管理教廷財務；成立於十一世紀。或稱作 Camera, Romana 。 
Christian Unity	基督徒的合一。 
religious freedom	宗教自由；信仰自由人類是生而自由的，也是美國總統羅斯福于 1941 年所宣導的四大自由之一。梵二大公會議宣示社會應給與個人按自己的良心信仰宗教的自由，不得用任何方式阻止或威脅之。法典 227 、 748 條亦有明文規定。 
Book of Ruth	盧德傳；路德記（基）舊約史書之一。中心人物為盧德，她原是外邦女子，嫁與猶太人為妻，丈夫死後自願留在猶太，與守寡的婆母相依為命，堪稱忠孝典型。後改嫁丈夫的親戚波阿次－達味(David)之先祖，亦為耶穌家譜中四位著名婦女之一。此書指出上主雖選取以色列民族，但未忘其他民族，卻足以彰顯救恩之普遍性。 
pastoral ministry	牧靈職務指牧者為人群服務，多指經由聖職聖事（受祝聖的）接受的管理、培養、領導等職務，亦指（未受祝聖的）全體教友的一般牧靈職務。 
solemn (high) Mass	大禮彌撒舊稱五、六品大彌撒，指附帶歌唱、奉香等較隆重禮儀的彌撒。是梵二大公會議前的稱呼。 
temporal punishment	暫罰指人在世間或在煉獄所受之暫時性的罪罰。 
