Pope St. Peter	聖伯鐸，公元64年或67年任第一任教宗
Pope St. Linus	教宗聖李諾，由公元67年至76年任第二任教宗
Pope St. Anacletus (Cletus)	教宗聖克雷，由公元76年至88年任第三任教宗
Pope St. Clement I	教宗聖克勉一世，由公元88年至97年任第四任教宗
Pope St. Evaristus	教宗聖立德，由公元97年至105年任第五任教宗
Pope St. Alexander I	教宗聖歷山一世，由公元105年至115年任第六任教宗
Pope St. Sixtus I	教宗聖思道一世，由公元115年至125年任第七任教宗
Pope St. Telesphorus	教宗聖褔祿，由公元125年至136年任第八任教宗
Pope St. Hyginus	教宗聖伊琪，由公元136年至140年任第九任教宗
Pope St. Pius I	教宗聖碧岳一世，由公元140年至155年任第十任教宗
Pope St. Anicetus	教宗聖啟德，由公元155年至166年任第十一任教宗
Pope St. Soter	教宗聖沙德，由公元166年至175年任第十二任教宗
Pope St. Eleutherus	教宗聖義祿，由公元175年至189年任第十三任教宗
Pope St. Victor I	教宗聖維篤一世，由公元189年至199年任第十四任教宗
Pope St. Zephyrinus	教宗聖才斐，由公元199年至217年任第十五任教宗
Pope St. Callistus I	教宗聖嘉禮一世，由公元217年至222年任第十六任教宗
Pope St. Hippolitus  ()	偽教宗聖怡博 (皈依後殉道)，由公元217年至235年任偽教宗
Pope St. Urban I	教宗聖伍朋一世，由公元222年至230年任第十七任教宗
Pope St. Pontian	教宗聖秉天，由公元230年至235年任第十八任教宗
Pope St. Anterus	教宗聖安祿，由公元235年至236年任第十九任教宗
Pope St. Fabian	教宗聖法彬，由公元236年至250年任第二十任教宗
Pope St. Cornelius	教宗聖高略，由公元251年至253年任第二十一任教宗
Pope Novatian	偽教宗諾範，公元251年任偽教宗
Pope St. Lucius I	教宗聖路啟一世，由公元253年至254年任第二十二任教宗
Pope St. Stephen I	教宗聖德範一世，由公元254年至257年任第二十三任教宗
Pope St. Sixtus II	教宗聖思道二世，由公元257年至258年任第二十四任教宗
Pope St. Dionysius	教宗聖德宜，由公元259年至268年任第二十五任教宗
Pope St. Felix I	教宗聖斐利一世，由公元269年至274年任第二十六任教宗
Pope St. Eutychian	教宗聖恩狄，由公元275年至283年任第二十七任教宗
Pope St. Caius	教宗聖嘉友，由公元283年至296年任第二十八任教宗
Pope St. Marcellinus	教宗聖才林，由公元296年至304年任第二十九任教宗
Pope St. Marcellus I	教宗聖才祿一世，由公元308年至309年任第三十任教宗
Pope St. Eusebius	教宗聖恩彪，公元309年任第三十一任教宗
Pope St. Miltiades = Melchiade	教宗聖米迪，由公元311年至314年任第三十二任教宗
Pope St. Sylvester I	教宗聖思維一世，由公元314年至335年任第三十三任教宗
Pope St. Mark	教宗聖瑪谷，公元336年任第三十四任教宗
Pope St. Julius I	教宗聖猶利一世，由公元337年至352年任第三十五任教宗
Pope Liberius	教宗立柏，由公元352年至366年任第三十六任教宗
Pope Felix II	偽教宗斐利二世，由公元355年至365年任偽教宗
Pope St. Damasus I	教宗聖達甦一世，由公元366年至384年任第三十七任教宗
Pope Ursinus	偽教宗伍西，由公元366年至367年任偽教宗
Pope St. Siricius	教宗聖西理，由公元384年至399年任第三十八任教宗
Pope St. Anastasius I	教宗聖達西一世，由公元399年至401年任第三十九任教宗
Pope St. Innocent I	教宗聖諾森一世，由公元401年至417年任第四十任教宗
Pope St. Zosimus	教宗聖佐西，由公元417年至418年任第四十一任教宗
Pope St. Boniface I	教宗聖博義一世，由公元418年至422年任第四十二任教宗
