Peter Abelard (1079–21 April 1142)   	亞貝拉；（新教或其它譯名）彼得•阿伯拉爾  
"Los von Rom" movement   	脫離羅馬運動
"Two Ways", parable of   	兩條道路的比喻
(7 December 1985)   	演講(1985年12月7日)
1 Chronicles (1Ch)   	編年紀上（編上）；（新教或其它譯名）歷代志上（代上）  
1 Corinthians(1Co)   	格林多前書（格前）；（新教或其它譯名）哥林多前書（林前）  
1 Esdras (Ezr)   	厄斯德拉上（厄上）；（新教或其它譯名）以斯拉記（拉）  
1 John(1Jn)   	若望一書（若一）；（新教或其它譯名）約翰一書（約壹）  
1 Kings (1K)   	列王紀上（列上）；（新教或其它譯名）列王記上（王上）  
1 Maccabees(1Mc)   	瑪加伯上（加上）；（新教或其它譯名）馬加比一書  
1 Peter(1P)   	伯多祿前書（伯前）；（新教或其它譯名）彼得前書（彼前）  
1 Samuel (1S)   	撒慕爾紀上（撒上）；（新教或其它譯名）撒母爾記上（撒上）  
1 Thessalonians(1Th)   	得撒洛尼前書（得前）；（新教或其它譯名）帖撒羅尼迦前書（帖前）  
1 Timothy(1Tm)   	弟茂德前書（弟前）；（新教或其它譯名）提摩太前書（提前）  
2 Chronicles (2Ch)   	編年紀下（編下）；（新教或其它譯名）歷代志下（代下）  
2 Corinthians(2Co)   	格林多後書（格後）；（新教或其它譯名）哥林多後書（林後）  
2 Esdras (Ne)   	厄斯德拉下（厄下）、乃赫米雅；（新教或其它譯名）尼希米記（尼）  
2 John (2Jn)   	若望二書（若二）；（新教或其它譯名）約翰二書（約貳）  
2 Kings (2K)   	列王紀下（列下）；（新教或其它譯名）列王記下（王下）  
2 Maccabees(2Mc)   	瑪加伯下（加下）；（新教或其它譯名）馬加比二書  
2 Peter(2P)   	伯多祿後書（伯後）；（新教或其它譯名）彼得後書（彼後）  
2 Samuel (2S)   	撒慕爾紀下（撒下）；（新教或其它譯名）撒母爾記下（撒下）  
2 Thessalonians(2Th)   	得撒洛尼後書（得後）；（新教或其它譯名）帖撒羅尼迦後書（帖後）  
2 Timothy(2Tm)   	弟茂德後書（弟後）；（新教或其它譯名）提摩太后書（提後）  
AMDG   	為使天主得更多榮耀
AMDG   	愈顯主榮
Aaron   	亞郎；（新教或其它譯名）亞倫（基）  
Abandonment; abnegation; rejection   	捨棄
Abecedarians   	文盲派
Abnegation; self-dedication; self-denial   	自我犧牲
Aboriginal Theology   	原住民神學
Abortion   	墮胎
Abraham   	亞巴郎；亞巴辣罕；（新教或其它譯名）亞伯蘭；亞伯拉罕（基）  
Absolute, The   	絕對者
Absolution   	赦罪
Absolutism   	絕對論
Abyssinian Church   	阿比西尼亞教會
Accident   	附質
Accidental union   	依附性的結合
Accommodation; Adaptation   	適應
Acedia   	懈怠
Act   	實現
Act and Potency   	實現與潛能
Act of Uniformity   	統一法令
Act of Uniformity   	教會統一條例
Act, Moral   	倫理行為
Act, Religious   	宗教行為
Act; action   	行為；行動
Acte d’offrande a l’amour misericordieux   	給仁慈大愛的奉獻
Acts of the Apostles   	宗徒大事錄；（新教或其它譯名）使徒行傳（基）  
Acts of the Trial of Joan of Arc   	審訊記錄
Acts(Ac)   	宗徒大事錄（宗）；（新教或其它譯名）使徒行傳（徒）  
Actual Grace   	現恩
