English term	中文翻譯
========================================
Francis Xavier, St.	聖方濟．薩威舊譯方濟各沙勿略(1506-1552)，西班牙籍耶穌會神父， 1541 年到印度、麻 六甲 及日本各地傳佈福音，達十年之久，勸化多人歸正。 1552 年死於中國上川島。被教會奉為傳教區主保。 
Xaverian Brothers	聖方濟．薩威會。乃 1839 年創立於比利時的傳教修會，原名 The Congregation of the Brothers of St.Francis Xavier 。拉丁文稱作 Societas Xaveriana ，簡稱 S.X. 。 
Christmas crib	聖誕馬槽由聖方濟(St. Francis of Assisi)開始，於耶誕節期間在聖堂、家中或廣場陳設聖誕馬槽包括耶穌聖嬰、瑪利亞、若瑟、天使、三賢士、牛、羊等，以描繪聖誕情景。或簡稱 crib 。 
Atonement, Friars of the	贖罪兄弟會乃美國聖公會數位神父于 1898 年，在華（特）遜神父(Paul James Francis Watson, 1863-1940)領導之下所創的修會；奉行聖方濟會規，並提倡合一祈禱。 1909 年全會改宗天主教。該會縮寫為 S.A. 。 
Salvatorian Fathers	救世主會；救主會 1881 年義大利人約旦(Franciscus Maria de Cruce Jordan)創立於羅馬之男性傳教修會， 1922 年來中國，在福州地區傳教。 1959 年來臺灣在宜蘭工作。該會全名為 Society of the Divine Savior ，簡稱 S.D.S. 。 
Conventual	方濟住院會方濟會的一支，前置 O.F.M. 。 1415 年由教宗若望廿二世(John XXII)批准；因穿黑色會衣，故又稱黑方濟會士 Black Franciscans 。 
Order of Friars Minor	聖方濟小兄弟會；聖方濟會為聖方濟於 1209 年所創，詳見 Francis of Assisi, St. 。 
O.F.M. Conv.	方濟住院兄弟會全文為 Order of Friars Minor Conventual ，拉丁文稱作 Ordo Fratrum Minorum Sancti Francisci Conventualium 。 
Francis of Assisi, St.	聖方濟．亞西西舊譯名方濟各(1181-1226)， 1224 年自己的身體印了五傷，親身體驗到耶穌所受的十字架痛苦， 1228 年列入聖品，又稱五傷聖方濟，為一平民化的義大利聖人。創立了方濟會；該會先後分出三支方濟小兄弟會 Order of Friars Minor (1209 年），方濟住院會 Conventuals (1415 年），嘉布遣會 Capuchins (1525 年）。 
Antigonish Movement	成人教育運動為加拿大聖方濟．薩威大學(St.Francis Xavier University) 1930 年所宣導。多年來成立許多儲蓄合作社和消費合作社，為其教育成就的表現之一。 
Black Franciscans	方濟住院會會服為黑色，故稱黑方濟會士。 
apostle	宗徒；使徒；門徒；傳道人被基督派往全球傳佈福音的人，簡稱 Ap. 甲指耶穌所選的十二宗徒（瑪十 1-5) 1/ Simon Peter 西滿伯鐸、伯多祿、彼得（基），宗徒之長和首位教宗。 2/ James son of Zebedee 載伯德之子雅格、雅各伯、雅各（基）。 3/ John 若望、約翰（基）。 4/ Andrew 安德、安德肋、安德列（基）。 5/ Philip 斐理、斐理伯、腓力（基）。 6/ Bartholomew 祿茂、巴爾多祿茂、巴多羅買（基）。 7/ Matthew Levi 稅吏瑪竇、馬太（基）。 8/ Thomas 多默、多馬（基）。 9/ James, of Alphaeus 阿耳斐之子雅格、雅各伯、雅各（基）。 10/ Jude Thaddeus 達德、達陡、達太（基）。 11/Simon the Zealot 熱誠者西滿、西門（基）。 12/ 出賣耶穌的 Judas Iscariot 猶達斯依斯加略、猶大（基）。猶達斯自殺後，由 Matthias 瑪迪、瑪弟亞、馬提亞（基）遞補（宗一 25-26)。乙後來聖保祿及其同伴巴爾納伯也被提升為宗徒（參閱宗九 1-16 ；宗十一 22-30 ；迦二 8)。其他追隨耶穌的稱之為弟子 disciples ，不稱宗徒 apostle （路十 1)。宗徒之拉丁文為 Apostolus 。丙指特殊努力于使徒工作，或首先開教者；如東洋使徒聖方濟．薩威 St. Francis Xavier 等。 
franciscan	方濟會士；方濟會的。 
Salesians, the	慈幼會（士）；鮑斯高會；撒肋爵會義大利人聖若望．鮑斯高 St. Giovanni Bosco (1815-1888)于 1859 年創立于義國北部杜林(Torino)之男修會。以普及平民教育、救助失學青年為目的。首創青年之家，收留街上流浪之不良少年，設職業學校、孤兒院、並出版優良讀物。 1902 年到中國，在廣東傳教。於香港、澳門、上海、北平等地創設學校、孤兒院、青年中心等。在澳門開辦慈幼印書館。 1951 年來臺灣，在臺北創辦華明書局，在台南設慈幼高工，在屏東潮州接辦少年城。該會全名為 Society of St. Francis de Sales 或稱 Salesian of Don Bosco ，簡稱為 SDB ，舊稱 SS 。 
